Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Ophiostoma mitovirus 3a;Mitovirus;Unassigned;Narnaviridae;Unassigned;ssRNA(+)
Saccharomyces 20S RNA narnavirus;Narnavirus;Unassigned;Narnaviridae;Unassigned;ssRNA(+)
Saccharomyces 23S RNA narnavirus;Narnavirus;Unassigned;Narnaviridae;Unassigned;ssRNA(+)
White spot syndrome virus;Whispovirus;Unassigned;Nimaviridae;Unassigned;dsDNA
Black beetle virus;Alphanodavirus;Unassigned;Nodaviridae;Unassigned;ssRNA(+)
Boolarra virus;Alphanodavirus;Unassigned;Nodaviridae;Unassigned;ssRNA(+)
Flock House virus;Alphanodavirus;Unassigned;Nodaviridae;Unassigned;ssRNA(+)
Nodamura virus;Alphanodavirus;Unassigned;Nodaviridae;Unassigned;ssRNA(+)
Pariacoto virus;Alphanodavirus;Unassigned;Nodaviridae;Unassigned;ssRNA(+)
Barfin flounder nervous necrosis virus;Betanodavirus;Unassigned;Nodaviridae;Unassigned;ssRNA(+)
Redspotted grouper nervous necrosis virus;Betanodavirus;Unassigned;Nodaviridae;Unassigned;ssRNA(+)
Striped jack nervous necrosis virus;Betanodavirus;Unassigned;Nodaviridae;Unassigned;ssRNA(+)
Tiger puffer nervous necrosis virus;Betanodavirus;Unassigned;Nodaviridae;Unassigned;ssRNA(+)
Gryllus bimaculatus nudivirus;Alphanudivirus;Unassigned;Nudiviridae;Unassigned;dsDNA
Oryctes rhinoceros nudivirus;Alphanudivirus;Unassigned;Nudiviridae;Unassigned;dsDNA
Heliothis zea nudivirus;Betanudivirus;Unassigned;Nudiviridae;Unassigned;dsDNA
Blueberry mosaic associated virus;Ophiovirus;Unassigned;Ophioviridae;Unassigned;ssRNA(-)
Citrus psorosis virus;Ophiovirus;Unassigned;Ophioviridae;Unassigned;ssRNA(-)
Freesia sneak virus;Ophiovirus;Unassigned;Ophioviridae;Unassigned;ssRNA(-)
Lettuce ring necrosis virus;Ophiovirus;Unassigned;Ophioviridae;Unassigned;ssRNA(-)
Mirafiori lettuce big-vein virus;Ophiovirus;Unassigned;Ophioviridae;Unassigned;ssRNA(-)
Ranunculus white mottle virus;Ophiovirus;Unassigned;Ophioviridae;Unassigned;ssRNA(-)
Tulip mild mottle mosaic virus;Ophiovirus;Unassigned;Ophioviridae;Unassigned;ssRNA(-)
Influenza A virus;Influenzavirus A;Unassigned;Orthomyxoviridae;Unassigned;ssRNA(-)
Influenza B virus;Influenzavirus B;Unassigned;Orthomyxoviridae;Unassigned;ssRNA(-)
Influenza C virus;Influenzavirus C;Unassigned;Orthomyxoviridae;Unassigned;ssRNA(-)
Influenza D virus;Influenzavirus D;Unassigned;Orthomyxoviridae;Unassigned;ssRNA(-)
Infectious salmon anemia virus;Isavirus;Unassigned;Orthomyxoviridae;Unassigned;ssRNA(-)
Johnston Atoll virus;Quaranjavirus;Unassigned;Orthomyxoviridae;Unassigned;ssRNA(-)
Quaranfil virus;Quaranjavirus;Unassigned;Orthomyxoviridae;Unassigned;ssRNA(-)
Dhori virus;Thogotovirus;Unassigned;Orthomyxoviridae;Unassigned;ssRNA(-)
Thogoto virus;Thogotovirus;Unassigned;Orthomyxoviridae;Unassigned;ssRNA(-)
Alphapapillomavirus 1;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 2;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 3;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 4;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 5;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 6;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 7;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 8;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 9;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 10;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 11;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 12;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 13;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Alphapapillomavirus 14;Alphapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Betapapillomavirus 1;Betapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Betapapillomavirus 2;Betapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Betapapillomavirus 3;Betapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Betapapillomavirus 4;Betapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Betapapillomavirus 5;Betapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Betapapillomavirus 6;Betapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Chipapillomavirus 1;Chipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Chipapillomavirus 2;Chipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Chipapillomavirus 3;Chipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Deltapapillomavirus 1;Deltapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Deltapapillomavirus 2;Deltapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Deltapapillomavirus 3;Deltapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Deltapapillomavirus 4;Deltapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Deltapapillomavirus 5;Deltapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Deltapapillomavirus 6;Deltapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyochipapillomavirus 1;Dyochipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyodeltapapillomavirus 1;Dyodeltapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyoepsilonpapillomavirus 1;Dyoepsilonpapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyoetapapillomavirus 1;Dyoetapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyoiotapapillomavirus 1;Dyoiotapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyoiotapapillomavirus 2;Dyoiotapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyokappapapillomavirus 1;Dyokappapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyokappapapillomavirus 2;Dyokappapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyolambdapapillomavirus 1;Dyolambdapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyomupapillomavirus 1;Dyomupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyonupapillomavirus 1;Dyonupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyoomegapapillomavirus 1;Dyoomegapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyoomikronpapillomavirus 1;Dyoomikronpapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyophipapillomavirus 1;Dyophipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyopipapillomavirus 1;Dyopipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyopsipapillomavirus 1;Dyopsipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyorhopapillomavirus 1;Dyorhopapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyosigmapapillomavirus 1;Dyosigmapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyotaupapillomavirus 1;Dyotaupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyothetapapillomavirus 1;Dyothetapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyoupsilonpapillomavirus 1;Dyoupsilonpapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyoxipapillomavirus 1;Dyoxipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Dyozetapapillomavirus 1;Dyozetapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Epsilonpapillomavirus 1;Epsilonpapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Etapapillomavirus 1;Etapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 1;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 2;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 3;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 4;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 5;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 6;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 7;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 8;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 9;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 10;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 11;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 12;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 13;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 14;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 15;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 16;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 17;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 18;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 19;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 20;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 21;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 22;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 23;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 24;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 25;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Gammapapillomavirus 26;Gammapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Iotapapillomavirus 1;Iotapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Kappapapillomavirus 1;Kappapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Kappapapillomavirus 2;Kappapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Lambdapapillomavirus 1;Lambdapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Lambdapapillomavirus 2;Lambdapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Lambdapapillomavirus 3;Lambdapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Lambdapapillomavirus 4;Lambdapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Lambdapapillomavirus 5;Lambdapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Mupapillomavirus 1;Mupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Mupapillomavirus 2;Mupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Mupapillomavirus 3;Mupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Nupapillomavirus 1;Nupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Omegapapillomavirus 1;Omegapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Omikronpapillomavirus 1;Omikronpapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Phipapillomavirus 1;Phipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Pipapillomavirus 1;Pipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Pipapillomavirus 2;Pipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Psipapillomavirus 1;Psipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Rhopapillomavirus 1;Rhopapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Rhopapillomavirus 2;Rhopapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Sigmapapillomavirus 1;Sigmapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Taupapillomavirus 1;Taupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Taupapillomavirus 2;Taupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Taupapillomavirus 3;Taupapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Thetapapillomavirus 1;Thetapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Treisdeltapapillomavirus 1;Treisdeltapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Treisepsilonpapillomavirus 1;Treisepsilonpapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Treisetapapillomavirus 1;Treisetapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Treiszetapapillomavirus 1;Treiszetapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Upsilonpapillomavirus 1;Upsilonpapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Upsilonpapillomavirus 2;Upsilonpapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Upsilonpapillomavirus 3;Upsilonpapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Xipapillomavirus 1;Xipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Xipapillomavirus 2;Xipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Xipapillomavirus 3;Xipapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Zetapapillomavirus 1;Zetapapillomavirus;Unassigned;Papillomaviridae;Unassigned;dsDNA
Beet cryptic virus 1;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Carrot cryptic virus;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Cherry chlorotic rusty spot associated partitivirus;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Chondrostereum purpureum cryptic virus 1;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Flammulina velutipes browning virus;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Helicobasidium mompa partitivirus V70;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Heterobasidion partitivirus 1;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Heterobasidion partitivirus 3;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Heterobasidion partitivirus 12;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Heterobasidion partitivirus 13;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Heterobasidion partitivirus 15;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Rosellinia necatrix partitivirus 2;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Vicia cryptic virus;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
White clover cryptic virus 1;Alphapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Atkinsonella hypoxylon virus;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Cannabis cryptic virus;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Ceratocystis resinifera virus 1;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Crimson clover cryptic virus 2;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Dill cryptic virus 2;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Fusarium poae virus 1;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Heterobasidion partitivirus 2;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Heterobasidion partitivirus 7;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Heterobasidion partitivirus 8;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Heterobasidion partitivirus P;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Hop trefoil cryptic virus 2;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Pleurotus ostreatus virus 1;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Primula malacoides virus 1;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Red clover cryptic virus 2;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Rhizoctonia solani virus 717;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Rosellinia necatrix virus 1;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
White clover cryptic virus 2;Betapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Cryptosporidium parvum virus 1;Cryspovirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Beet cryptic virus 2;Deltapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Beet cryptic virus 3;Deltapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Fig cryptic virus;Deltapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Pepper cryptic virus 1;Deltapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Pepper cryptic virus 2;Deltapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Aspergillus ochraceous virus;Gammapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Discula destructiva virus 1;Gammapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Discula destructiva virus 2;Gammapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Fusarium solani virus 1;Gammapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Gremmeniella abietina RNA virus MS1;Gammapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Ophiostoma partitivirus 1;Gammapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Penicillium stoloniferum virus F;Gammapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Penicillium stoloniferum virus S;Gammapartitivirus;Unassigned;Partitiviridae;Unassigned;dsRNA
Agaricus bisporus virus 4;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Alfalfa cryptic virus 1;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Carnation cryptic virus 1;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Carrot temperate virus 1;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Carrot temperate virus 2;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Carrot temperate virus 3;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Carrot temperate virus 4;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Gaeumannomyces graminis virus 019/6-A;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Gaeumannomyces graminis virus T1-A;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Hop trefoil cryptic virus 1;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Hop trefoil cryptic virus 3;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Radish yellow edge virus;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Ryegrass cryptic virus;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Spinach temperate virus;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
White clover cryptic virus 3;Unassigned;Unassigned;Partitiviridae;Unassigned;dsRNA
Asteroid ambidensovirus 1;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Blattodean ambidensovirus 1;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Blattodean ambidensovirus 2;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Decapod ambidensovirus 1;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Dipteran ambidensovirus 1;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Hemipteran ambidensovirus 1;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Hemipteran ambidensovirus 2;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Hemipteran ambidensovirus 3;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Hymenopteran ambidensovirus 1;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Lepidopteran ambidensovirus 1;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Orthopteran ambidensovirus 1;Ambidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Dipteran brevidensovirus 1;Brevidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Dipteran brevidensovirus 2;Brevidensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Decapod hepandensovirus 1;Hepandensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Lepidopteran iteradensovirus 1;Iteradensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Lepidopteran iteradensovirus 2;Iteradensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Lepidopteran iteradensovirus 3;Iteradensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Lepidopteran iteradensovirus 4;Iteradensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Lepidopteran iteradensovirus 5;Iteradensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Decapod penstyldensovirus 1;Penstyldensovirus;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Orthopteran densovirus 1;Unassigned;Densovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Carnivore amdoparvovirus 1;Amdoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Carnivore amdoparvovirus 2;Amdoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Galliform aveparvovirus 1;Aveparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Carnivore bocaparvovirus 1;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Carnivore bocaparvovirus 2;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Carnivore bocaparvovirus 3;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Pinniped bocaparvovirus 1;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Pinniped bocaparvovirus 2;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Primate bocaparvovirus 1;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Primate bocaparvovirus 2;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Ungulate bocaparvovirus 1;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Ungulate bocaparvovirus 2;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Ungulate bocaparvovirus 3;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Ungulate bocaparvovirus 4;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Ungulate bocaparvovirus 5;Bocaparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Ungulate copiparvovirus 1;Copiparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Ungulate copiparvovirus 2;Copiparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Adeno-associated dependoparvovirus A;Dependoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Adeno-associated dependoparvovirus B;Dependoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Anseriform dependoparvovirus 1;Dependoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Avian dependoparvovirus 1;Dependoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Chiropteran dependoparvovirus 1;Dependoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Pinniped dependoparvovirus 1;Dependoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Squamate dependoparvovirus 1;Dependoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Primate erythroparvovirus 1;Erythroparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Primate erythroparvovirus 2;Erythroparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Primate erythroparvovirus 3;Erythroparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Primate erythroparvovirus 4;Erythroparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Rodent erythroparvovirus 1;Erythroparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Ungulate erythroparvovirus 1;Erythroparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Carnivore protoparvovirus 1;Protoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Primate protoparvovirus 1;Protoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Rodent protoparvovirus 1;Protoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Rodent protoparvovirus 2;Protoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Ungulate protoparvovirus 1;Protoparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Chiropteran tetraparvovirus 1;Tetraparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
Primate tetraparvovirus 1;Tetraparvovirus;Parvovirinae;Parvoviridae;Unassigned;ssDNA(+/-)
